,source_image,source_mask,target_image,target_mask
13,/home/data/exports/multiomics/hes_scans/segmented_images/003 M- V7 HES.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/masks/003 M- V7 HES.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/mts/segmented_images/003 MM V8_01.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/mts/masks/003 MM V8_01.vsi - 20x_BF_02.tif
14,/home/data/exports/multiomics/mts/segmented_images/003 MM V8_01.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/mts/masks/003 MM V8_01.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/ihc/lps/segmented_images/003_LPS_F9_094304_202205.vsi - 40x_BF_02.tif,/home/data/exports/multiomics/ihc/lps/masks/003_LPS_F9_094304_202205.vsi - 40x_BF_02.tif
15,/home/data/exports/multiomics/ihc/lps/segmented_images/003_LPS_F9_094304_202205.vsi - 40x_BF_02.tif,/home/data/exports/multiomics/ihc/lps/masks/003_LPS_F9_094304_202205.vsi - 40x_BF_02.tif,/home/data/exports/multiomics/ihc/lta/segmented_images/003_LTA_F10_095615_202205.vsi - 40x_BF_02.tif,/home/data/exports/multiomics/ihc/lta/masks/003_LTA_F10_095615_202205.vsi - 40x_BF_02.tif
16,/home/data/exports/multiomics/ihc/lta/segmented_images/003_LTA_F10_095615_202205.vsi - 40x_BF_02.tif,/home/data/exports/multiomics/ihc/lta/masks/003_LTA_F10_095615_202205.vsi - 40x_BF_02.tif,/home/data/exports/multiomics/hes_scans/segmented_images/003 HE R11_2.vsi - 20x_02.tif,/home/data/exports/multiomics/hes_scans/masks/003 HE R11_2.vsi - 20x_02.tif
17,/home/data/exports/multiomics/hes_scans/segmented_images/003 HE R11_2.vsi - 20x_02.tif,/home/data/exports/multiomics/hes_scans/masks/003 HE R11_2.vsi - 20x_02.tif,/home/data/exports/multiomics/hes_scans/segmented_images/003 HE R21_2.vsi - 20x_02.tif,/home/data/exports/multiomics/hes_scans/masks/003 HE R21_2.vsi - 20x_02.tif
18,/home/data/exports/multiomics/hes_scans/segmented_images/045 HE R1_1.vsi - 20x_03.tif,/home/data/exports/multiomics/hes_scans/masks/045 HE R1_1.vsi - 20x_03.tif,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/045_ST_V10A20_008_3_03.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/045_ST_V10A20_008_3_03.tif
19,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/045_ST_V10A20_008_3_03.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/045_ST_V10A20_008_3_03.tif,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/045_MP_F3.vsi - old_04 - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/045_MP_F3.vsi - old_04 - 20x_BF_03.tif
20,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/045_MP_F3.vsi - old_04 - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/045_MP_F3.vsi - old_04 - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/segmented_images/045 M+ V6 HES.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/masks/045 M+ V6 HES.vsi - 20x_BF_03.tif
21,/home/data/exports/multiomics/hes_scans/segmented_images/045 M+ V6 HES.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/masks/045 M+ V6 HES.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/segmented_images/045 M- V7 HES.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/masks/045 M- V7 HES.vsi - 20x_BF_03.tif
22,/home/data/exports/multiomics/hes_scans/segmented_images/045 M- V7 HES.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/masks/045 M- V7 HES.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/mts/segmented_images/045 MM V8_01.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/mts/masks/045 MM V8_01.vsi - 20x_BF_03.tif
23,/home/data/exports/multiomics/mts/segmented_images/045 MM V8_01.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/mts/masks/045 MM V8_01.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/ihc/lps/segmented_images/045_LPS_F9_094555_202205.vsi - 40x_BF_03.tif,/home/data/exports/multiomics/ihc/lps/masks/045_LPS_F9_094555_202205.vsi - 40x_BF_03.tif
24,/home/data/exports/multiomics/ihc/lps/segmented_images/045_LPS_F9_094555_202205.vsi - 40x_BF_03.tif,/home/data/exports/multiomics/ihc/lps/masks/045_LPS_F9_094555_202205.vsi - 40x_BF_03.tif,/home/data/exports/multiomics/ihc/lta/segmented_images/045_LTA_F10_100028_202205.vsi - 40x_BF_03.tif,/home/data/exports/multiomics/ihc/lta/masks/045_LTA_F10_100028_202205.vsi - 40x_BF_03.tif
25,/home/data/exports/multiomics/ihc/lta/segmented_images/045_LTA_F10_100028_202205.vsi - 40x_BF_03.tif,/home/data/exports/multiomics/ihc/lta/masks/045_LTA_F10_100028_202205.vsi - 40x_BF_03.tif,/home/data/exports/multiomics/hes_scans/segmented_images/045 HE R11_1.vsi - 20x_03.tif,/home/data/exports/multiomics/hes_scans/masks/045 HE R11_1.vsi - 20x_03.tif
26,/home/data/exports/multiomics/hes_scans/segmented_images/045 HE R11_1.vsi - 20x_03.tif,/home/data/exports/multiomics/hes_scans/masks/045 HE R11_1.vsi - 20x_03.tif,/home/data/exports/multiomics/hes_scans/segmented_images/045 HE R21_1.vsi - 20x_03.tif,/home/data/exports/multiomics/hes_scans/masks/045 HE R21_1.vsi - 20x_03.tif
27,/home/data/exports/multiomics/hes_scans/segmented_images/045 HE R1_1.vsi - 20x_02.tif,/home/data/exports/multiomics/hes_scans/masks/045 HE R1_1.vsi - 20x_02.tif,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/045_ST_V10A20_008_2_02.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/045_ST_V10A20_008_2_02.tif
28,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/045_ST_V10A20_008_2_02.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/045_ST_V10A20_008_2_02.tif,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/045_MP_F3.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/045_MP_F3.vsi - 20x_BF_02.tif
29,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/045_MP_F3.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/045_MP_F3.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/segmented_images/045 M+ V6 HES.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/masks/045 M+ V6 HES.vsi - 20x_BF_02.tif
30,/home/data/exports/multiomics/hes_scans/segmented_images/045 M+ V6 HES.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/masks/045 M+ V6 HES.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/segmented_images/045 M- V7 HES.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/masks/045 M- V7 HES.vsi - 20x_BF_02.tif
31,/home/data/exports/multiomics/hes_scans/segmented_images/045 M- V7 HES.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/masks/045 M- V7 HES.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/mts/segmented_images/045 MM V8_01.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/mts/masks/045 MM V8_01.vsi - 20x_BF_02.tif
32,/home/data/exports/multiomics/mts/segmented_images/045 MM V8_01.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/mts/masks/045 MM V8_01.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/ihc/lps/segmented_images/045_LPS_F9_094555_202205.vsi - 40x_BF_02.tif,/home/data/exports/multiomics/ihc/lps/masks/045_LPS_F9_094555_202205.vsi - 40x_BF_02.tif
33,/home/data/exports/multiomics/ihc/lps/segmented_images/045_LPS_F9_094555_202205.vsi - 40x_BF_02.tif,/home/data/exports/multiomics/ihc/lps/masks/045_LPS_F9_094555_202205.vsi - 40x_BF_02.tif,/home/data/exports/multiomics/ihc/lta/segmented_images/045_LTA_F10_100028_202205.vsi - 40x_BF_02.tif,/home/data/exports/multiomics/ihc/lta/masks/045_LTA_F10_100028_202205.vsi - 40x_BF_02.tif
34,/home/data/exports/multiomics/ihc/lta/segmented_images/045_LTA_F10_100028_202205.vsi - 40x_BF_02.tif,/home/data/exports/multiomics/ihc/lta/masks/045_LTA_F10_100028_202205.vsi - 40x_BF_02.tif,/home/data/exports/multiomics/hes_scans/segmented_images/045 HE R11_1.vsi - 20x_02.tif,/home/data/exports/multiomics/hes_scans/masks/045 HE R11_1.vsi - 20x_02.tif
35,/home/data/exports/multiomics/hes_scans/segmented_images/045 HE R11_1.vsi - 20x_02.tif,/home/data/exports/multiomics/hes_scans/masks/045 HE R11_1.vsi - 20x_02.tif,/home/data/exports/multiomics/hes_scans/segmented_images/045 HE R21_1.vsi - 20x_02.tif,/home/data/exports/multiomics/hes_scans/masks/045 HE R21_1.vsi - 20x_02.tif
36,/home/data/exports/multiomics/hes_scans/segmented_images/048 HE R1_1.vsi - 20x_04.tif,/home/data/exports/multiomics/hes_scans/masks/048 HE R1_1.vsi - 20x_04.tif,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/048_ST_V10A20_009_4_04.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/048_ST_V10A20_009_4_04.tif
37,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/048_ST_V10A20_009_4_04.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/048_ST_V10A20_009_4_04.tif,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/048_MP_F3.vsi - old_05 - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/048_MP_F3.vsi - old_05 - 20x_BF_04.tif
38,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/048_MP_F3.vsi - old_05 - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/048_MP_F3.vsi - old_05 - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/segmented_images/048 M+ V6 HES.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/masks/048 M+ V6 HES.vsi - 20x_BF_04.tif
39,/home/data/exports/multiomics/hes_scans/segmented_images/048 M+ V6 HES.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/masks/048 M+ V6 HES.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/segmented_images/048 M- V7 HES.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/masks/048 M- V7 HES.vsi - 20x_BF_04.tif
40,/home/data/exports/multiomics/hes_scans/segmented_images/048 M- V7 HES.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/masks/048 M- V7 HES.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/mts/segmented_images/048 MM V8_01.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/mts/masks/048 MM V8_01.vsi - 20x_BF_04.tif
41,/home/data/exports/multiomics/mts/segmented_images/048 MM V8_01.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/mts/masks/048 MM V8_01.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/ihc/lps/segmented_images/048_LPS_F9_095142_202205.vsi - 40x_BF_04.tif,/home/data/exports/multiomics/ihc/lps/masks/048_LPS_F9_095142_202205.vsi - 40x_BF_04.tif
42,/home/data/exports/multiomics/ihc/lps/segmented_images/048_LPS_F9_095142_202205.vsi - 40x_BF_04.tif,/home/data/exports/multiomics/ihc/lps/masks/048_LPS_F9_095142_202205.vsi - 40x_BF_04.tif,/home/data/exports/multiomics/ihc/lta/segmented_images/048_LTA_F10_100505_202205.vsi - 40x_BF_04.tif,/home/data/exports/multiomics/ihc/lta/masks/048_LTA_F10_100505_202205.vsi - 40x_BF_04.tif
43,/home/data/exports/multiomics/ihc/lta/segmented_images/048_LTA_F10_100505_202205.vsi - 40x_BF_04.tif,/home/data/exports/multiomics/ihc/lta/masks/048_LTA_F10_100505_202205.vsi - 40x_BF_04.tif,/home/data/exports/multiomics/hes_scans/segmented_images/048 HE R11_1.vsi - 20x_04.tif,/home/data/exports/multiomics/hes_scans/masks/048 HE R11_1.vsi - 20x_04.tif
44,/home/data/exports/multiomics/hes_scans/segmented_images/048 HE R11_1.vsi - 20x_04.tif,/home/data/exports/multiomics/hes_scans/masks/048 HE R11_1.vsi - 20x_04.tif,/home/data/exports/multiomics/hes_scans/segmented_images/048 HE R21_1.vsi - 20x_04.tif,/home/data/exports/multiomics/hes_scans/masks/048 HE R21_1.vsi - 20x_04.tif
45,/home/data/exports/multiomics/hes_scans/segmented_images/047 HE R1_1.vsi - 20x_03.tif,/home/data/exports/multiomics/hes_scans/masks/047 HE R1_1.vsi - 20x_03.tif,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/047_ST_V10A20_007_3_03.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/047_ST_V10A20_007_3_03.tif
46,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/047_ST_V10A20_007_3_03.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/047_ST_V10A20_007_3_03.tif,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/047_MP_F3.vsi - old_04 - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/047_MP_F3.vsi - old_04 - 20x_BF_03.tif
47,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/047_MP_F3.vsi - old_04 - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/047_MP_F3.vsi - old_04 - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/segmented_images/047 M+ V6 HES.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/masks/047 M+ V6 HES.vsi - 20x_BF_03.tif
48,/home/data/exports/multiomics/hes_scans/segmented_images/047 M+ V6 HES.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/masks/047 M+ V6 HES.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/segmented_images/047 M- V7 HES.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/masks/047 M- V7 HES.vsi - 20x_BF_03.tif
49,/home/data/exports/multiomics/hes_scans/segmented_images/047 M- V7 HES.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/masks/047 M- V7 HES.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/mts/segmented_images/047 MM V8.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/mts/masks/047 MM V8.vsi - 20x_BF_03.tif
50,/home/data/exports/multiomics/mts/segmented_images/047 MM V8.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/mts/masks/047 MM V8.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/ihc/lps/segmented_images/047_LPS_F9_095009_202205.vsi - 40x_BF_03.tif,/home/data/exports/multiomics/ihc/lps/masks/047_LPS_F9_095009_202205.vsi - 40x_BF_03.tif
51,/home/data/exports/multiomics/ihc/lps/segmented_images/047_LPS_F9_095009_202205.vsi - 40x_BF_03.tif,/home/data/exports/multiomics/ihc/lps/masks/047_LPS_F9_095009_202205.vsi - 40x_BF_03.tif,/home/data/exports/multiomics/ihc/lta/segmented_images/047_LTA_F10_100334_202205.vsi - 40x_BF_03.tif,/home/data/exports/multiomics/ihc/lta/masks/047_LTA_F10_100334_202205.vsi - 40x_BF_03.tif
52,/home/data/exports/multiomics/ihc/lta/segmented_images/047_LTA_F10_100334_202205.vsi - 40x_BF_03.tif,/home/data/exports/multiomics/ihc/lta/masks/047_LTA_F10_100334_202205.vsi - 40x_BF_03.tif,/home/data/exports/multiomics/hes_scans/segmented_images/047 HE R11_1.vsi - 20x_03.tif,/home/data/exports/multiomics/hes_scans/masks/047 HE R11_1.vsi - 20x_03.tif
53,/home/data/exports/multiomics/hes_scans/segmented_images/047 HE R11_1.vsi - 20x_03.tif,/home/data/exports/multiomics/hes_scans/masks/047 HE R11_1.vsi - 20x_03.tif,/home/data/exports/multiomics/hes_scans/segmented_images/047 HE R21_1.vsi - 20x_03.tif,/home/data/exports/multiomics/hes_scans/masks/047 HE R21_1.vsi - 20x_03.tif
54,/home/data/exports/multiomics/hes_scans/segmented_images/002 HE R1_1.vsi - 20x_01.tif,/home/data/exports/multiomics/hes_scans/masks/002 HE R1_1.vsi - 20x_01.tif,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/002_ST_V19S23_002_1_01.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/002_ST_V19S23_002_1_01.tif
55,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/002_ST_V19S23_002_1_01.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/002_ST_V19S23_002_1_01.tif,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/002_MP_F3.vsi - old_02 - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/002_MP_F3.vsi - old_02 - 20x_BF_01.tif
56,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/002_MP_F3.vsi - old_02 - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/002_MP_F3.vsi - old_02 - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/segmented_images/002 M+ V6 HES.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/masks/002 M+ V6 HES.vsi - 20x_BF_01.tif
57,/home/data/exports/multiomics/hes_scans/segmented_images/002 M+ V6 HES.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/masks/002 M+ V6 HES.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/segmented_images/002 M- V7 HES.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/masks/002 M- V7 HES.vsi - 20x_BF_01.tif
58,/home/data/exports/multiomics/hes_scans/segmented_images/002 M- V7 HES.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/masks/002 M- V7 HES.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/mts/segmented_images/002 MM V8_01.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/mts/masks/002 MM V8_01.vsi - 20x_BF_01.tif
59,/home/data/exports/multiomics/mts/segmented_images/002 MM V8_01.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/mts/masks/002 MM V8_01.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/ihc/lps/segmented_images/002_LPS_F9_094135_202205.vsi - 40x_BF_01.tif,/home/data/exports/multiomics/ihc/lps/masks/002_LPS_F9_094135_202205.vsi - 40x_BF_01.tif
60,/home/data/exports/multiomics/ihc/lps/segmented_images/002_LPS_F9_094135_202205.vsi - 40x_BF_01.tif,/home/data/exports/multiomics/ihc/lps/masks/002_LPS_F9_094135_202205.vsi - 40x_BF_01.tif,/home/data/exports/multiomics/ihc/lta/segmented_images/002_LTA_F10_095442_202205.vsi - 40x_BF_01.tif,/home/data/exports/multiomics/ihc/lta/masks/002_LTA_F10_095442_202205.vsi - 40x_BF_01.tif
61,/home/data/exports/multiomics/ihc/lta/segmented_images/002_LTA_F10_095442_202205.vsi - 40x_BF_01.tif,/home/data/exports/multiomics/ihc/lta/masks/002_LTA_F10_095442_202205.vsi - 40x_BF_01.tif,/home/data/exports/multiomics/hes_scans/segmented_images/002 HE R11_1.vsi - 20x_01.tif,/home/data/exports/multiomics/hes_scans/masks/002 HE R11_1.vsi - 20x_01.tif
62,/home/data/exports/multiomics/hes_scans/segmented_images/002 HE R11_1.vsi - 20x_01.tif,/home/data/exports/multiomics/hes_scans/masks/002 HE R11_1.vsi - 20x_01.tif,/home/data/exports/multiomics/hes_scans/segmented_images/002 HE R21_1.vsi - 20x_01.tif,/home/data/exports/multiomics/hes_scans/masks/002 HE R21_1.vsi - 20x_01.tif
63,/home/data/exports/multiomics/hes_scans/segmented_images/003 HE R1_3.vsi - 20x_03.tif,/home/data/exports/multiomics/hes_scans/masks/003 HE R1_3.vsi - 20x_03.tif,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/003_ST_V19S23_107_3_03.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/003_ST_V19S23_107_3_03.tif
64,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/003_ST_V19S23_107_3_03.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/003_ST_V19S23_107_3_03.tif,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/003_MP_F3.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/003_MP_F3.vsi - 20x_BF_03.tif
65,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/003_MP_F3.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/003_MP_F3.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/segmented_images/003 M+ V6 HES.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/masks/003 M+ V6 HES.vsi - 20x_BF_03.tif
66,/home/data/exports/multiomics/hes_scans/segmented_images/003 M+ V6 HES.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/masks/003 M+ V6 HES.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/segmented_images/003 M- V7 HES.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/masks/003 M- V7 HES.vsi - 20x_BF_03.tif
67,/home/data/exports/multiomics/hes_scans/segmented_images/003 M- V7 HES.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/hes_scans/masks/003 M- V7 HES.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/mts/segmented_images/003 MM V8_01.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/mts/masks/003 MM V8_01.vsi - 20x_BF_03.tif
68,/home/data/exports/multiomics/mts/segmented_images/003 MM V8_01.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/mts/masks/003 MM V8_01.vsi - 20x_BF_03.tif,/home/data/exports/multiomics/ihc/lps/segmented_images/003_LPS_F9_094304_202205.vsi - 40x_BF_03.tif,/home/data/exports/multiomics/ihc/lps/masks/003_LPS_F9_094304_202205.vsi - 40x_BF_03.tif
